Data Source in SDW: null
,EXR.D.USD.EUR.SP00.A
,"ECB reference exchange rate, US dollar/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[US dollar ]
2016-04-21,1.1355
2016-04-20,1.1379
2016-04-19,1.1343
2016-04-18,1.1306
2016-04-15,1.1284
2016-04-14,1.1252
2016-04-13,1.1298
2016-04-12,1.1396
2016-04-11,1.1390
